date,arrivals,patients_in_hospital,patients_added,patients_dismissed,capacity,capacity_precentage,predictions_histoty
10/20/2020,10,,,,,,
10/21/2020,18,,,,,,
10/22/2020,12,,,,,,
10/23/2020,10,,,,,,
10/24/2020,19,,,,,,
10/25/2020,21,,,,,,
10/26/2020,24,,,,,,
10/27/2020,41,,,,,,
10/28/2020,16,,,,,,
10/29/2020,12,,,,,,
10/30/2020,19,,,,,,
10/31/2020,20,,,,,,
11/1/2020,6,,,,,,
11/2/2020,29,,,,,,
11/3/2020,15,,,,,,
11/4/2020,16,,,,,,
11/5/2020,15,,,,,,
11/6/2020,18,,,,,,
11/7/2020,18,,,,,,
11/8/2020,9,,,,,,
11/9/2020,23,,,,,,
11/10/2020,21,,,,,,
11/11/2020,15,,,,,,
11/12/2020,10,,,,,,
11/13/2020,6,,,,,,
11/14/2020,12,,,,,,
11/15/2020,10,,,,,,
11/16/2020,24,,,,,,
11/17/2020,18,,,,,,
11/18/2020,32,,,,,,
11/19/2020,12,,,,,,
11/20/2020,12,,,,,,
11/21/2020,9,,,,,,
11/22/2020,30,,,,,,
11/23/2020,20,,,,,,
11/24/2020,20,,,,,,
11/25/2020,22,,,,,,
11/26/2020,41,,,,,,
11/27/2020,13,,,,,,
11/28/2020,14,,,,,,
11/29/2020,21,,,,,,
11/30/2020,20,,,,,,
12/1/2020,34,,,,,,
12/2/2020,12,,,,,,
12/3/2020,12,,,,,,
12/4/2020,14,,,,,,
12/5/2020,19,,,,,,
12/6/2020,22,,,,,,
12/7/2020,26,,,,,,
12/8/2020,26,,,,,,
12/9/2020,1,,,,,,
12/10/2020,18,,,,,,
12/11/2020,13,,,,,,
12/12/2020,18,,,,,,
12/13/2020,3,,,,,,
12/14/2020,10,,,,,,
12/15/2020,18,,,,,,
12/16/2020,17,,,,,,
12/17/2020,14,,,,,,
12/18/2020,1,,,,,,
12/19/2020,18,,,,,,
12/20/2020,20,,,,,,
12/21/2020,18,,,,,,
12/22/2020,18,,,,,,
12/23/2020,9,,,,,,
12/24/2020,20,,,,,,
12/25/2020,10,,,,,,
12/26/2020,7,,,,,,
12/27/2020,31,,,,,,
12/28/2020,20,,,,,,
12/29/2020,18,,,,,,
12/30/2020,19,,,,,,
12/31/2020,9,,,,,,
1/1/2021,12,,,,,,
1/2/2021,22,,,,,,
1/3/2021,21,,,,,,
1/4/2021,14,,,,,,
1/5/2021,18,,,,,,
1/6/2021,16,,,,,,
1/7/2021,24,,,,,,
1/8/2021,14,,,,,,
1/9/2021,20,,,,,,
1/10/2021,14,,,,,,
1/11/2021,13,,,,,,
1/12/2021,26,,,,,,
1/13/2021,17,,,,,,
1/14/2021,5,,,,,,
1/15/2021,13,,,,,,
1/16/2021,24,,,,,,
1/17/2021,5,,,,,,
1/18/2021,22,,,,,,
1/19/2021,19,,,,,,
1/20/2021,8,,,,,,
1/21/2021,9,,,,,,
1/22/2021,7,,,,,,
1/23/2021,15,,,,,,
1/24/2021,16,,,,,,
1/25/2021,10,,,,,,
1/26/2021,18,,,,,,
1/27/2021,8,,,,,,
1/28/2021,17,,,,,,
1/29/2021,22,,,,,,
1/30/2021,29,,,,,,
1/31/2021,11,,,,,,
2/1/2021,4,,,,,,
2/2/2021,4,,,,,,
2/3/2021,34,,,,,,
2/4/2021,3,,,,,,
2/5/2021,15,,,,,,
2/6/2021,7,,,,,,
2/7/2021,9,,,,,,
2/8/2021,23,,,,,,
2/9/2021,21,,,,,,
2/10/2021,22,,,,,,
2/11/2021,10,,,,,,
2/12/2021,24,,,,,,
2/13/2021,23,,,,,,
2/14/2021,9,,,,,,
2/15/2021,15,,,,,,
2/16/2021,22,,,,,,
2/17/2021,8,,,,,,
2/18/2021,23,,,,,,
2/19/2021,10,,,,,,
2/20/2021,7,,,,,,
2/21/2021,26,,,,,,
2/22/2021,14,,,,,,
2/23/2021,25,,,,,,
2/24/2021,16,,,,,,
2/25/2021,10,,,,,,
2/26/2021,11,,,,,,
2/27/2021,7,,,,,,
2/28/2021,32,,,,,,
3/1/2021,16,,,,,,
3/2/2021,24,,,,,,
3/3/2021,22,,,,,,
3/4/2021,23,,,,,,
3/5/2021,11,,,,,,
3/6/2021,27,,,,,,
3/7/2021,16,,,,,,
3/8/2021,17,,,,,,
3/9/2021,24,,,,,,
3/10/2021,14,,,,,,
3/11/2021,14,,,,,,
3/12/2021,17,,,,,,
3/13/2021,4,,,,,,
3/14/2021,18,,,,,,
3/15/2021,21,,,,,,
3/16/2021,8,,,,,,
3/17/2021,14,,,,,,
3/18/2021,9,,,,,,
3/19/2021,16,,,,,,
3/20/2021,12,,,,,,
3/21/2021,23,,,,,,
3/22/2021,24,,,,,,
3/23/2021,15,,,,,,
3/24/2021,26,,,,,,
3/25/2021,23,,,,,,
3/26/2021,7,,,,,,
3/27/2021,22,,,,,,
3/28/2021,9,,,,,,
3/29/2021,6,,,,,,
3/30/2021,7,,,,,,
3/31/2021,22,,,,,,
4/1/2021,27,,,,,,
4/2/2021,33,,,,,,
4/3/2021,23,,,,,,
4/4/2021,20,,,,,,
4/5/2021,12,,,,,,
4/6/2021,7,,,,,,
4/7/2021,26,,,,,,
4/8/2021,12,,,,,,
4/9/2021,14,,,,,,
4/10/2021,29,,,,,,
4/11/2021,10,,,,,,
4/12/2021,22,,,,,,
4/13/2021,22,,,,,,
4/14/2021,31,,,,,,
4/15/2021,9,,,,,,
4/16/2021,16,,,,,,
4/17/2021,27,,,,,,
4/18/2021,4,,,,,,
4/19/2021,19,,,,,,
4/20/2021,22,,,,,,
4/21/2021,18,,,,,,
4/22/2021,20,,,,,,
4/23/2021,12,,,,,,
4/24/2021,20,,,,,,
4/25/2021,22,,,,,,
4/26/2021,30,,,,,,
4/27/2021,15,,,,,,
4/28/2021,6,,,,,,
4/29/2021,23,,,,,,
4/30/2021,27,,,,,,
5/1/2021,37,,,,,,
5/2/2021,26,,,,,,
5/3/2021,25,,,,,,
5/4/2021,18,,,,,,
5/5/2021,13,,,,,,
5/6/2021,19,,,,,,
5/7/2021,41,,,,,,
5/8/2021,34,,,,,,
5/9/2021,12,,,,,,
5/10/2021,22,,,,,,
5/11/2021,8,,,,,,
5/12/2021,28,,,,,,
5/13/2021,22,,,,,,
5/14/2021,32,,,,,,
5/15/2021,10,,,,,,
5/16/2021,10,,,,,,
5/17/2021,31,,,,,,
5/18/2021,20,,,,,,
5/19/2021,9,,,,,,
5/20/2021,28,,,,,,
5/21/2021,7,,,,,,
5/22/2021,13,,,,,,
5/23/2021,24,,,,,,
5/24/2021,23,,,,,,
5/25/2021,15,,,,,,
5/26/2021,22,,,,,,
5/27/2021,9,,,,,,
5/28/2021,27,,,,,,
5/29/2021,32,,,,,,
5/30/2021,21,,,,,,
5/31/2021,41,,,,,,
6/1/2021,32,,,,,,
6/2/2021,12,,,,,,
6/3/2021,5,,,,,,
6/4/2021,33,,,,,,
6/5/2021,6,,,,,,
6/6/2021,21,,,,,,
6/7/2021,24,,,,,,
6/8/2021,20,,,,,,
6/9/2021,23,,,,,,
6/10/2021,26,,,,,,
6/11/2021,12,,,,,,
6/12/2021,24,,,,,,
6/13/2021,22,,,,,,
6/14/2021,23,,,,,,
6/15/2021,9,,,,,,
6/16/2021,13,,,,,,
6/17/2021,17,,,,,,
6/18/2021,12,,,,,,
6/19/2021,25,,,,,,
6/20/2021,20,,,,,,
6/21/2021,21,,,,,,
6/22/2021,37,,,,,,
6/23/2021,9,,,,,,
6/24/2021,24,,,,,,
6/25/2021,15,,,,,,
6/26/2021,24,,,,,,
6/27/2021,19,,,,,,
6/28/2021,18,,,,,,
6/29/2021,30,,,,,,
6/30/2021,20,,,,,,
7/1/2021,10,,,,,,
7/2/2021,14,,,,,,
7/3/2021,16,,,,,,
7/4/2021,32,,,,,,
7/5/2021,13,,,,,,
7/6/2021,14,,,,,,
7/7/2021,10,,,,,,
7/8/2021,20,,,,,,
7/9/2021,21,,,,,,
7/10/2021,21,,,,,,
7/11/2021,30,,,,,,
7/12/2021,8,,,,,,
7/13/2021,1,,,,,,
7/14/2021,12,,,,,,
7/15/2021,15,,,,,,
7/16/2021,13,,,,,,
7/17/2021,24,,,,,,
7/18/2021,6,,,,,,
7/19/2021,14,,,,,,
7/20/2021,25,,,,,,
7/21/2021,18,,,,,,
7/22/2021,16,,,,,,
7/23/2021,12,,,,,,
7/24/2021,21,,,,,,
7/25/2021,24,,,,,,
7/26/2021,24,,,,,,
7/27/2021,19,,,,,,
7/28/2021,11,,,,,,
7/29/2021,11,,,,,,
7/30/2021,23,,,,,,
7/31/2021,18,,,,,,
8/1/2021,25,,,,,,
8/2/2021,31,,,,,,
8/3/2021,15,,,,,,
8/4/2021,21,,,,,,
8/5/2021,10,,,,,,
8/6/2021,20,,,,,,
8/7/2021,21,,,,,,
8/8/2021,18,,,,,,
8/9/2021,20,,,,,,
8/10/2021,12,,,,,,
8/11/2021,24,,,,,,
8/12/2021,32,,,,,,
8/13/2021,24,,,,,,
8/14/2021,14,,,,,,
8/15/2021,20,,,,,,
8/16/2021,13,,,,,,
8/17/2021,13,,,,,,
8/18/2021,21,,,,,,
8/19/2021,15,,,,,,
8/20/2021,23,,,,,,
8/21/2021,21,,,,,,
8/22/2021,15,,,,,,
8/23/2021,12,,,,,,
8/24/2021,8,,,,,,
8/25/2021,8,,,,,,
8/26/2021,14,,,,,,
8/27/2021,15,,,,,,
8/28/2021,18,,,,,,
8/29/2021,28,,,,,,
8/30/2021,9,,,,,,
8/31/2021,15,,,,,,
9/1/2021,17,,,,,,
9/2/2021,13,,,,,,
9/3/2021,16,,,,,,
9/4/2021,23,,,,,,
9/5/2021,8,,,,,,
9/6/2021,25,,,,,,
9/7/2021,13,,,,,,
9/8/2021,14,,,,,,
9/9/2021,11,,,,,,
9/10/2021,11,,,,,,
9/11/2021,27,,,,,,
9/12/2021,12,,,,,,
9/13/2021,20,,,,,,
9/14/2021,29,,,,,,
9/15/2021,12,,,,,,
9/16/2021,20,,,,,,
9/17/2021,4,,,,,,
9/18/2021,29,,,,,,
9/19/2021,23,,,,,,
9/20/2021,14,,,,,,
9/21/2021,13,,,,,,
9/22/2021,8,,,,,,
9/23/2021,22,,,,,,
9/24/2021,18,,,,,,
9/25/2021,21,,,,,,
9/26/2021,20,,,,,,
9/27/2021,22,,,,,,
9/28/2021,17,,,,,,
9/29/2021,18,,,,,,
9/30/2021,16,,,,,,
10/1/2021,30,,,,,,
10/2/2021,14,,,,,,
10/3/2021,15,,,,,,
10/4/2021,19,,,,,,
10/5/2021,34,,,,,,
10/6/2021,26,,,,,,
10/7/2021,10,,,,,,
10/8/2021,30,,,,,,
10/9/2021,15,,,,,,
10/10/2021,9,,,,,,
10/11/2021,13,,,,,,
10/12/2021,21,,,,,,
10/13/2021,18,,,,,,
10/14/2021,6,,,,,,
10/15/2021,22,,,,,,
10/16/2021,12,,,,,,
10/17/2021,14,,,,,,
10/18/2021,20,,,,,,
10/19/2021,14,,,,,,
10/20/2021,17,,,,,,
10/21/2021,17,,,,,,
10/22/2021,21,,,,,,
10/23/2021,22,,,,,,
10/24/2021,18,,,,,,
10/25/2021,12,,,,,,
10/26/2021,12,,,,,,
10/27/2021,23,,,,,,
10/28/2021,22,,,,,,
10/29/2021,6,,,,,,
10/30/2021,23,,,,,,
10/31/2021,41,,,,,,
11/1/2021,7,,,,,,
11/2/2021,23,,,,,,
11/3/2021,16,,,,,,
11/4/2021,22,,,,,,
11/5/2021,26,,,,,,
11/6/2021,26,,,,,,
11/7/2021,10,,,,,,
11/8/2021,14,,,,,,
11/9/2021,14,,,,,,
11/10/2021,23,,,,,,
11/11/2021,16,,,,,,
11/12/2021,22,,,,,,
11/13/2021,1,,,,,,
11/14/2021,26,,,,,,
11/15/2021,21,,,,,,
11/16/2021,31,,,,,,
11/17/2021,14,,,,,,
11/18/2021,9,,,,,,
11/19/2021,9,,,,,,
11/20/2021,34,,,,,,
11/21/2021,19,,,,,,
11/22/2021,18,,,,,,
11/23/2021,15,,,,,,
11/24/2021,27,,,,,,
11/25/2021,19,,,,,,
11/26/2021,22,,,,,,
11/27/2021,6,,,,,,
11/28/2021,25,,,,,,
11/29/2021,29,,,,,,
11/30/2021,10,,,,,,
12/1/2021,13,,,,,,
12/2/2021,20,,,,,,
12/3/2021,17,,,,,,
12/4/2021,13,,,,,,
12/5/2021,26,,,,,,
12/6/2021,21,,,,,,
12/7/2021,33,,,,,,
12/8/2021,20,,,,,,
12/9/2021,7,,,,,,
12/10/2021,14,,,,,,
12/11/2021,16,,,,,,
12/12/2021,20,,,,,,
12/13/2021,17,,,,,,
12/14/2021,21,,,,,,
12/15/2021,27,,,,,,
12/16/2021,25,,,,,,
12/17/2021,18,,,,,,
12/18/2021,12,,,,,,
12/19/2021,11,,,,,,
12/20/2021,37,,,,,,
12/21/2021,9,,,,,,
12/22/2021,19,,,,,,
12/23/2021,16,,,,,,
12/24/2021,27,,,,,,
12/25/2021,30,,,,,,
12/26/2021,12,,,,,,
12/27/2021,19,,,,,,
12/28/2021,12,,,,,,
12/29/2021,16,,,,,,
12/30/2021,13,,,,,,
12/31/2021,13,,,,,,
1/1/2022,10,,,,,,
1/2/2022,13,,,,,,
1/3/2022,15,,,,,,
1/4/2022,16,,,,,,
1/5/2022,18,,,,,,
1/6/2022,20,,,,,,
1/7/2022,22,,,,,,
1/8/2022,10,,,,,,
1/9/2022,8,,,,,,
1/10/2022,13,,,,,,
1/11/2022,10,,,,,,
1/12/2022,19,,,,,,
1/13/2022,25,,,,,,
1/14/2022,16,,,,,,
1/15/2022,12,,,,,,
1/16/2022,8,,,,,,
1/17/2022,15,,,,,,
1/18/2022,9,,,,,,
1/19/2022,14,,,,,,
1/20/2022,22,,,,,,
1/21/2022,20,,,,,,
1/22/2022,10,,,,,,
1/23/2022,17,,,,,,
1/24/2022,20,,,,,,
1/25/2022,21,,,,,,
1/26/2022,12,,,,,,
1/27/2022,18,,,,,,
1/28/2022,17,,,,,,
1/29/2022,12,,,,,,
1/30/2022,25,,,,,,
1/31/2022,12,,,,,,
2/1/2022,18,,,,,,
2/2/2022,22,,,,,,
2/3/2022,13,,,,,,
2/4/2022,6,,,,,,
2/5/2022,17,,,,,,
2/6/2022,12,,,,,,
2/7/2022,12,,,,,,
2/8/2022,26,,,,,,
2/9/2022,26,,,,,,
2/10/2022,19,,,,,,
2/11/2022,18,,,,,,
2/12/2022,20,,,,,,
2/13/2022,17,,,,,,
2/14/2022,20,,,,,,
2/15/2022,5,,,,,,
2/16/2022,18,,,,,,
2/17/2022,26,,,,,,
2/18/2022,20,,,,,,
2/19/2022,18,,,,,,
2/20/2022,14,,,,,,
2/21/2022,10,,,,,,
2/22/2022,20,,,,,,
2/23/2022,14,,,,,,
2/24/2022,15,,,,,,
2/25/2022,20,,,,,,
2/26/2022,24,,,,,,
2/27/2022,21,,,,,,
2/28/2022,21,,,,,,
3/1/2022,27,,,,,,
3/2/2022,22,,,,,,
3/3/2022,22,,,,,,
3/4/2022,18,,,,,,
3/5/2022,22,,,,,,
3/6/2022,20,,,,,,
3/7/2022,17,,,,,,
3/8/2022,41,,,,,,
3/9/2022,20,,,,,,
3/10/2022,33,,,,,,
3/11/2022,27,,,,,,
3/12/2022,18,,,,,,
3/13/2022,17,,,,,,
3/14/2022,7,,,,,,
3/15/2022,32,,,,,,
3/16/2022,16,,,,,,
3/17/2022,13,,,,,,
3/18/2022,14,,,,,,
3/19/2022,17,,,,,,
3/20/2022,25,,,,,,
3/21/2022,18,,,,,,
3/22/2022,26,,,,,,
3/23/2022,23,,,,,,
3/24/2022,24,,,,,,
3/25/2022,20,,,,,,
3/26/2022,17,,,,,,
3/27/2022,8,,,,,,
3/28/2022,10,,,,,,
3/29/2022,13,,,,,,
3/30/2022,21,,,,,,
3/31/2022,24,,,,,,
4/1/2022,21,,,,,,
4/2/2022,14,,,,,,
4/3/2022,12,,,,,,
4/4/2022,15,,,,,,
4/5/2022,11,,,,,,
4/6/2022,25,,,,,,
4/7/2022,24,,,,,,
4/8/2022,16,,,,,,
4/9/2022,18,,,,,,
4/10/2022,20,,,,,,
4/11/2022,11,,,,,,
4/12/2022,28,,,,,,
4/13/2022,24,,,,,,
4/14/2022,29,,,,,,
4/15/2022,14,,,,,,
4/16/2022,9,,,,,,
4/17/2022,23,,,,,,
4/18/2022,15,,,,,,
4/19/2022,22,,,,,,
4/20/2022,26,,,,,,
4/21/2022,18,,,,,,
4/22/2022,29,,,,,,
4/23/2022,21,,,,,,
4/24/2022,23,,,,,,
4/25/2022,14,,,,,,
4/26/2022,10,,,,,,
4/27/2022,24,,,,,,
4/28/2022,30,,,,,,
4/29/2022,26,,,,,,
4/30/2022,22,,,,,,
5/1/2022,25,,,,,,
5/2/2022,14,,,,,,
5/3/2022,22,,,,,,
5/4/2022,19,,,,,,
5/5/2022,22,,,,,,
5/6/2022,26,,,,,,
5/7/2022,18,,,,,,
5/8/2022,22,,,,,,
5/9/2022,19,,,,,,
5/10/2022,22,,,,,,
5/11/2022,24,,,,,,
5/12/2022,26,,,,,,
5/13/2022,17,,,,,,
5/14/2022,20,,,,,,
5/15/2022,17,,,,,,
5/16/2022,9,,,,,,
5/17/2022,1,,,,,,
5/18/2022,12,,,,,,
5/19/2022,18,,,,,,
5/20/2022,29,,,,,,
5/21/2022,15,,,,,,
5/22/2022,15,,,,,,
5/23/2022,13,,,,,,
5/24/2022,14,,,,,,
5/25/2022,19,,,,,,
5/26/2022,23,,,,,,
5/27/2022,24,,,,,,
5/28/2022,23,,,,,,
5/29/2022,19,,,,,,
5/30/2022,22,,,,,,
5/31/2022,21,,,,,,
6/1/2022,19,,,,,,
6/2/2022,27,,,,,,
6/3/2022,26,,,,,,
6/4/2022,14,,,,,,
6/5/2022,9,,,,,,
6/6/2022,8,,,,,,
6/7/2022,10,,,,,,
6/8/2022,23,,,,,,
6/9/2022,37,,,,,,
6/10/2022,24,,,,,,
6/11/2022,32,,,,,,
6/12/2022,9,,,,,,
6/13/2022,16,,,,,,
6/14/2022,20,,,,,,
6/15/2022,21,,,,,,
6/16/2022,23,,,,,,
6/17/2022,25,,,,,,
6/18/2022,23,,,,,,
6/19/2022,13,,,,,,
6/20/2022,12,,,,,,
6/21/2022,19,,,,,,
6/22/2022,22,,,,,,
6/23/2022,17,,,,,,
6/24/2022,26,,,,,,
6/25/2022,24,,,,,,
6/26/2022,17,,,,,,
6/27/2022,13,,,,,,
6/28/2022,20,,,,,,
6/29/2022,15,,,,,,
6/30/2022,19,,,,,,
7/1/2022,20,,,,,,
7/2/2022,15,,,,,,
7/3/2022,21,,,,,,
7/4/2022,15,,,,,,
7/5/2022,21,,,,,,
7/6/2022,16,,,,,,
7/7/2022,25,,,,,,
7/8/2022,20,,,,,,
7/9/2022,18,,,,,,
7/10/2022,12,,,,,,
7/11/2022,12,,,,,,
7/12/2022,6,,,,,,
